panel,drug,auc,lo,hi,n_act
PKIS2,GSK2306394,0.5585024894676369,0.40011853680984344,0.7168864421254304,14
PKIS2,GSK2328680,0.7122015915119363,0.5297321139095265,0.8946710691143461,10
PKIS2,GSK2333389,0.7646596858638743,0.5189099556120104,1.0104094161157384,5
PKIS2,GSK2334006,0.7976127320954907,0.6307098541119165,0.9645156100790648,10
PKIS2,GSK2336394,0.6217277486910995,0.3569924105497217,0.8864630868324772,5
PKIS2,GSK2342769,0.6958413926499033,0.5200484335857113,0.8716343517140953,11
PKIS2,GSK2344444,0.9991319444444444,0.9755413698181916,1.0227225190706972,3
PKIS2,GSK2347225,0.6757168458781362,0.5232810928200234,0.8281525989362489,15
PKIS2,GSK2358994,0.9934725848563969,0.9376847558286399,1.049260413884154,4
PKIS2,GSK2363608,0.6367421285454072,0.5057929468214513,0.7676913102693632,21
PKIS2,GSK2373690,0.7880936675461742,0.5990894129763685,0.9770979221159798,8
PKIS2,GSK2373693,0.5146307798481712,0.4213903796576073,0.6078711800387351,42
PKIS2,GSK2375584,0.5833333333333334,0.3421022077987762,0.8245644588678905,6
PKIS2,GSK2376236,0.6723477594791267,0.5144877721497892,0.8302077468084642,14
PKIS2,GSK257997,0.5396953405017921,0.3874880568268676,0.6919026241767167,15
PKIS2,GSK2587663,0.7304444444444445,0.5658336563249017,0.8950552325639872,12
PKIS2,GSK2593067,0.6631306828311642,0.5888540807483481,0.7374072849139802,71
PKIS2,GSK2593074,0.6850662589194699,0.6060850791042007,0.7640474387347391,60
PKIS2,GSK260205,0.535097947761194,0.45806123930025977,0.6121346562221283,67
PKIS2,GSK2603346,0.6009495548961424,0.513117353930686,0.6887817558615988,50
PKIS2,GSK2603358,0.5679301773810869,0.48242041366746463,0.6534399410947092,53
PKIS2,GSK2606590,0.624540059347181,0.5369375967494199,0.7121425219449422,50
PKIS2,GSK2608885,0.6065984109553646,0.5432121301574033,0.6699846917533259,113
PKIS2,GSK2608899,0.6781487743026204,0.5913338341200797,0.7649637144851612,49
PKIS2,GSK2634140,0.6288946849006062,0.5331560646485878,0.7246333051526246,41
PKIS2,GSK2634758,0.5898054592067562,0.49044657073586145,0.6891643476776509,38
PKIS2,GSK2635225,0.7484551459620712,0.6373738560184681,0.8595364359056743,26
PKIS2,GSK2645446,0.5020567667626491,0.3420189188651158,0.6620946146601824,13
PKIS2,GSK292658,0.7735794034327612,0.678684142448951,0.8684746644165714,34
PKIS2,GSK299495,0.7518865946965727,0.6760569248577701,0.8277162645353753,58
PKIS2,GSK301329,0.694967505415764,0.5930645966583694,0.7968704141731586,34
PKIS2,GSK301362,0.6289569484013928,0.5273156209113591,0.7305982758914266,36
PKIS2,GSK306886,0.6344797178130511,0.43662098339724587,0.8323384522288564,9
PKIS2,GSK312879,0.7826666666666666,0.6268639164524281,0.9384694168809051,12
PKIS2,GSK323521,0.5975675675675676,0.4969644669722445,0.6981706681628906,37
PKIS2,GSK326180,0.7309615064155974,0.6316644729617167,0.8302585398694782,34
PKIS2,GSK327238,0.6589670728849308,0.6006146354985864,0.7173195102712753,136
PKIS2,GSK336313,0.571575543797766,0.3744600515027626,0.7686910360927693,9
PKIS2,GSK336735,0.594050771913959,0.5304767826961498,0.6576247611317683,113
PKIS2,GSK346294,0.5541884816753927,0.29223515953286144,0.816141803817924,5
PKIS2,GSK350559,0.6391689373297003,0.5051697236202888,0.7731681510391117,20
PKIS2,GSK357952,0.7194871455075537,0.6306780249536361,0.8082962660614712,44
PKIS2,GSK361061,0.667907995618839,0.5850819833738261,0.7507340078638518,55
PKIS2,GSK361065,0.5505050505050505,0.44520763765485627,0.6558024633552447,33
PKIS2,GSK364507,0.645778364116095,0.4364739846832927,0.8550827435488974,8
PKIS2,GSK398099,0.6294429708222812,0.4414607203650858,0.8174252212794766,10
PKIS2,GSK429286,0.37935656836461124,0.24240350457645432,0.5163096321527681,14
PKIS2,GSK448459,0.5333454150054368,0.4255883419630672,0.6411024880478063,31
PKIS2,GSK479719,0.5628717077315208,0.4849709758987452,0.6407724395642964,66
PKIS2,GSK483724,0.559017027863777,0.4801598399916078,0.6378742157359463,64
PKIS2,GSK507274,0.5794790005316321,0.49652141315537096,0.6624365879078933,57
PKIS2,GSK507358,0.5276746394957258,0.45375403667931347,0.6015952423121381,74
PKIS2,GSK580432,0.5818292682926829,0.5154273692798796,0.6482311673054861,100
PKIS2,GSK581271,0.5896250642013354,0.4836108704122557,0.6956392579904151,33
PKIS2,GSK682037,0.5267911099174108,0.4618099761619857,0.591772243672836,106
PKIS2,GSK683281,0.6479036295369212,0.558342271527373,0.7374649875464693,47
PKIS2,GSK846226,0.5745791604517366,0.45630267028980587,0.6928556506136674,26
PKIS2,GSK902056,0.5746812386156649,0.44381967368933406,0.7055428035419957,21
PKIS2,GSK907232,0.5506724071207431,0.4719195458375535,0.6294252684039325,64
PKIS2,GSK943949,0.4961167244759463,0.39954327995992467,0.5926901689919679,38
PKIS2,GSK955403,0.647854203409759,0.4504256981345433,0.8452827086849746,9
PKIS2,GSK977617,0.5297093188942719,0.4700477343897668,0.589370903398777,145
